subject,trial_id,condition,onset_s,tr_s,tr_relative,time_from_cue_s,nacc_psc,vta_psc
sub-14,14,neutral,161.0,1.0,3,3.0,-0.8415248394012451,-0.9102766513824463
sub-14,14,neutral,161.0,1.0,4,4.0,0.10538048297166824,-0.6936132311820984
sub-14,14,neutral,161.0,1.0,5,5.0,-0.16554951667785645,-0.08677562326192856
sub-14,14,neutral,161.0,1.0,6,6.0,0.18654434382915497,-0.14156976342201233
sub-14,14,neutral,161.0,1.0,7,7.0,0.47842079401016235,-0.33166706562042236
sub-14,14,neutral,161.0,1.0,8,8.0,0.019262993708252907,0.021969540044665337
sub-14,14,neutral,161.0,1.0,9,9.0,0.5028115510940552,0.5258664488792419
sub-14,14,neutral,161.0,1.0,10,10.0,0.2768511176109314,0.5067748427391052
sub-14,14,neutral,161.0,1.0,11,11.0,-0.028754204511642456,-0.18390369415283203
sub-14,14,neutral,161.0,1.0,12,12.0,-0.3522583544254303,-0.35408249497413635
sub-14,14,neutral,161.0,1.0,13,13.0,-0.6582409739494324,0.44534119963645935
sub-14,15,reward,173.0,1.0,-2,-2.0,0.2768511176109314,0.5067748427391052
sub-14,15,reward,173.0,1.0,-1,-1.0,-0.028754204511642456,-0.18390369415283203
sub-14,15,reward,173.0,1.0,0,0.0,-0.3522583544254303,-0.35408249497413635
sub-14,15,reward,173.0,1.0,1,1.0,-0.6582409739494324,0.44534119963645935
sub-14,15,reward,173.0,1.0,2,2.0,-1.0446231365203857,-0.7201712131500244
sub-14,15,reward,173.0,1.0,3,3.0,-0.23794780671596527,0.5507706999778748
sub-14,15,reward,173.0,1.0,4,4.0,0.23608052730560303,0.43288910388946533
sub-14,15,reward,173.0,1.0,5,5.0,-0.12362759560346603,-0.28352054953575134
sub-14,15,reward,173.0,1.0,6,6.0,0.2924762964248657,-0.8305863738059998
sub-14,15,reward,173.0,1.0,7,7.0,0.04326675459742546,-0.19552889466285706
sub-14,15,reward,173.0,1.0,8,8.0,0.4978579580783844,0.6138581037521362
sub-14,15,reward,173.0,1.0,9,9.0,-0.22346428036689758,-0.2038303017616272
sub-14,15,reward,173.0,1.0,10,10.0,-0.7554073929786682,-0.14987117052078247
sub-14,15,reward,173.0,1.0,11,11.0,-1.2923040390014648,-0.23868972063064575
sub-14,15,reward,173.0,1.0,12,12.0,-0.5500257611274719,-0.08428682386875153
sub-14,15,reward,173.0,1.0,13,13.0,-0.4052291512489319,0.17471863329410553
sub-14,16,neutral,179.0,1.0,-2,-2.0,0.23608052730560303,0.43288910388946533
sub-14,16,neutral,179.0,1.0,-1,-1.0,-0.12362759560346603,-0.28352054953575134
sub-14,16,neutral,179.0,1.0,0,0.0,0.2924762964248657,-0.8305863738059998
sub-14,16,neutral,179.0,1.0,1,1.0,0.04326675459742546,-0.19552889466285706
sub-14,16,neutral,179.0,1.0,2,2.0,0.4978579580783844,0.6138581037521362
sub-14,16,neutral,179.0,1.0,3,3.0,-0.22346428036689758,-0.2038303017616272
sub-14,16,neutral,179.0,1.0,4,4.0,-0.7554073929786682,-0.14987117052078247
sub-14,16,neutral,179.0,1.0,5,5.0,-1.2923040390014648,-0.23868972063064575
sub-14,16,neutral,179.0,1.0,6,6.0,-0.5500257611274719,-0.08428682386875153
sub-14,16,neutral,179.0,1.0,7,7.0,-0.4052291512489319,0.17471863329410553
